Combination,# Total used,# Children used,# Adults used,# Total found,# Children found,# Adults found,Total used (%),Children used (%),Adults used (%),Difference,Ratio Children:Adults used(%),Fisher's Exact Test,p-Value,Success
dew + dew,1,0,1,16,5,11,6,0,9,9,0:100,0.0,1.0,False
flood + ocean,1,0,1,26,16,10,4,0,10,10,0:100,0.0,0.38,False
volcano + city,1,0,1,14,7,7,7,0,14,14,0:100,0.0,1.0,False
earth + archipelago,1,0,1,9,4,5,11,0,20,20,0:100,0.0,1.0,False
atomic bomb + city,1,0,1,3,0,3,33,0,33,33,0:100,nan,1.0,False
brick + metal,1,0,1,13,7,6,8,0,17,17,0:100,0.0,0.46,False
bullet + air,1,0,1,9,6,3,11,0,33,33,0:100,0.0,0.33,False
ash + grass,1,0,1,8,5,3,12,0,33,33,0:100,0.0,0.38,False
isle + air,1,0,1,11,6,5,9,0,20,20,0:100,0.0,0.45,False
archipelago + air,1,0,1,9,4,5,11,0,20,20,0:100,0.0,1.0,False
earth + pond,1,0,1,11,4,7,9,0,14,14,0:100,0.0,1.0,False
sea + electricity,1,0,1,10,3,7,10,0,14,14,0:100,0.0,1.0,False
ocean + electricity,1,0,1,7,1,6,14,0,17,17,0:100,0.0,1.0,False
house + electricity,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
salt + rust,1,0,1,3,0,3,33,0,33,33,0:100,nan,1.0,False
rust + energy,1,0,1,7,1,6,14,0,17,17,0:100,0.0,1.0,False
mud + metal,1,0,1,24,14,10,4,0,10,10,0:100,0.0,0.42,False
metal + isle,1,0,1,4,1,3,25,0,33,33,0:100,0.0,1.0,False
isle + sea,1,0,1,11,6,5,9,0,20,20,0:100,0.0,0.45,False
gun + explosion,1,0,1,5,4,1,20,0,100,100,0:100,0.0,0.2,False
gun + gunpowder,1,0,1,7,6,1,14,0,100,100,0:100,0.0,0.14,False
grenade + gun,1,0,1,4,3,1,25,0,100,100,0:100,0.0,0.25,False
steam + metal,1,0,1,26,15,11,4,0,9,9,0:100,0.0,0.42,True
boiler + pressure,1,0,1,3,1,2,33,0,50,50,0:100,0.0,1.0,False
metal + salt,1,0,1,6,1,5,17,0,20,20,0:100,0.0,1.0,False
house + boiler,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
glass + house,1,0,1,4,3,1,25,0,100,100,0:100,0.0,0.25,False
aquarium + algae,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
stone + dust,1,0,1,49,32,17,2,0,6,6,0:100,0.0,0.35,False
sand + stone,1,0,1,25,13,12,4,0,8,8,0:100,0.0,0.48,True
sandstone + sandstone,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
sandstone + fire,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
sandstone + earth,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
air + sandstone,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
water + sandstone,1,0,1,5,1,4,20,0,25,25,0:100,0.0,1.0,False
sandstone + house,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
sandstone + metal,1,0,1,4,0,4,25,0,25,25,0:100,nan,1.0,False
